Time,Millis,Voltage,Current,Power,Frequency,PF
2021-08-30T08:58:02.519,503500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:03.016,504000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:03.515,504500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:04.014,505000,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:04.515,505500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:05.022,506000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:05.513,506500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:06.016,507000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:06.518,507500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:07.016,508000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:07.524,508500,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:08.024,509000,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:08.517,509500,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:09.019,510000,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:09.523,510500,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:10.021,511000,223.000,0.047,0.900,60.000,0.090
2021-08-30T08:58:10.519,511500,223.000,0.047,0.900,60.000,0.090
2021-08-30T08:58:11.020,512000,223.000,0.047,0.900,60.000,0.090
2021-08-30T08:58:11.520,512500,222.900,0.047,0.900,60.000,0.090
2021-08-30T08:58:12.021,513000,222.900,0.047,0.900,60.000,0.090
2021-08-30T08:58:12.517,513500,222.700,0.047,0.900,60.000,0.090
2021-08-30T08:58:13.017,514000,222.700,0.047,0.900,60.000,0.090
2021-08-30T08:58:13.522,514500,222.700,0.047,0.900,60.000,0.090
2021-08-30T08:58:14.020,515000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:14.522,515500,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:15.022,516000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:15.519,516500,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:16.022,517000,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:16.528,517500,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:17.019,518000,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:17.522,518500,222.700,0.047,0.900,60.000,0.090
2021-08-30T08:58:18.023,519000,222.700,0.047,0.900,60.000,0.090
2021-08-30T08:58:18.522,519500,222.700,0.047,0.900,60.000,0.090
2021-08-30T08:58:19.020,520000,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:19.518,520500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:20.018,521000,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:20.519,521500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:21.019,522000,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:21.516,522500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:22.028,523000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:22.523,523500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:23.026,524000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:23.526,524500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:24.020,525000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:24.520,525500,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:25.028,526000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:25.519,526500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:26.027,527000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:26.521,527500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:27.021,528000,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:27.525,528500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:28.025,529000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:28.522,529500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:29.031,530000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:29.520,530500,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:30.030,531000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:58:30.524,531500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:31.028,532000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:31.528,532500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:32.032,533000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:32.524,533500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:33.027,534000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:58:33.528,534500,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:34.028,535000,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:34.522,535500,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:35.021,536000,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:35.522,536500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:36.029,537000,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:36.529,537500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:58:37.031,538000,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:37.532,538500,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:38.034,539000,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:38.529,539500,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:39.029,540000,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:39.523,540500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:40.032,541000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:40.531,541500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:41.028,542000,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:41.531,542500,222.400,0.047,1.000,60.000,0.100
2021-08-30T08:58:42.033,543000,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:42.526,543500,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:43.031,544000,222.400,0.047,0.900,60.000,0.090
2021-08-30T08:58:43.529,544500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:44.032,545000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:44.531,545500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:45.028,546000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:45.529,546500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:46.025,547000,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:46.526,547500,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:47.031,548000,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:47.535,548500,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:58:48.031,549000,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:58:48.533,549500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:49.037,550000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:49.533,550500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:50.031,551000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:50.531,551500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:51.033,552000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:51.531,552500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:52.032,553000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:52.530,553500,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:58:53.029,554000,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:58:53.533,554500,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:54.032,555000,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:54.534,555500,222.800,0.047,1.000,60.000,0.100
2021-08-30T08:58:55.035,556000,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:55.529,556500,222.900,0.047,1.000,60.000,0.100
2021-08-30T08:58:56.037,557000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:56.527,557500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:57.028,558000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:57.538,558500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:58.033,559000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:58:58.531,559500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:59.031,560000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:58:59.532,560500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:00.033,561000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:00.530,561500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:01.034,562000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:01.536,562500,222.600,0.047,0.900,60.000,0.090
2021-08-30T08:59:02.031,563000,222.600,0.047,0.900,59.900,0.090
2021-08-30T08:59:02.536,563500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:03.038,564000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:03.540,564500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:04.039,565000,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:04.532,565500,222.500,0.047,1.000,60.000,0.100
2021-08-30T08:59:05.032,566000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:59:05.535,566500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:59:06.034,567000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:59:06.531,567500,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:59:07.034,568000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:59:07.535,568500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:59:08.039,569000,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:59:08.537,569500,222.500,0.047,0.900,60.000,0.090
2021-08-30T08:59:09.039,570000,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:59:09.542,570500,222.600,0.047,1.000,60.000,0.100
2021-08-30T08:59:10.043,571000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:59:10.536,571500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:59:11.036,572000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:59:11.532,572500,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:59:12.032,573000,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:59:12.534,573500,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:59:13.041,574000,222.800,0.047,0.900,60.000,0.090
2021-08-30T08:59:13.540,574500,222.800,0.047,0.900,59.900,0.090
2021-08-30T08:59:14.038,575000,222.900,0.047,0.900,60.000,0.090
2021-08-30T08:59:14.539,575500,222.900,0.047,0.900,60.000,0.090
2021-08-30T08:59:15.035,576000,222.900,0.047,0.900,60.000,0.090
2021-08-30T08:59:15.535,576500,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:59:16.044,577000,222.700,0.047,1.000,60.000,0.100
2021-08-30T08:59:16.540,577500,222.700,0.047,1.000,59.900,0.100
2021-08-30T08:59:17.035,578000,222.800,0.047,0.900,60.000,0.090
